Keyword;sentence_id;sentence with keyword match;Labelling 
asistencia técnica;88ad2ff_51;El Concejo Municipal debera fomentar las actuaciones por compensacion y cooperacion, debiendo proporcionar a los propietarios la asistencia tecnica que sea necesaria;1
asistencia técnica;901a837_63;Por su parte, las autoridades edilicias daran aviso al Servicio Forestal y de Fauna si notaran alguna anomalia relacionada con las actividades descritas en el inciso precedente, a efecto de que este ultimo proporcione la asistencia tecnica necesaria para que el municipio, desarrolle programas o campañas de forestacion, reforestacion o conservacion de bosques protectores;0
asistencia técnica;901a837_81;"Para este efecto; el Gobierno Municipal, gestionara ante la Direccion General de Recursos Naturales Renovables del Ministerio de Agricultura y Ganaderia o al Ministerio de Medio Ambiente y Recursos Naturales el otorgamiento de la asistencia tecnica necesaria para el desarrollo de programas encaminados al fomento de practicas o tratamientos conservacionistas";1
asistencia técnica;902bedc_41;- El Comite de Seguimiento Municipal podra pedir la colaboracion y asistencia tecnica necesaria, en el desarrollo de sus funciones, a las instituciones publicas siguientes: A la Unidad de Gestion de Vida Silvestre del Ministerio del Medio Ambiente y Recur;0
asistencia técnica;902bedc_58;Para los efectos de implementacion de las normas tecnicas anteriores y otras que se estimen necesarias realizar, el Municipio solicitara la colaboracion y asistencia tecnica del Ministerio del Medio Ambiente y Recursos Naturales, de la Direccion General de CENDEPESCA del Ministerio de Agricultura y Ganaderia, de FUNZEL, de organismos internacionales especializados en el tema asi como de las entidades no gubernamentales que trabajen en esta materia;0
asistencia técnica;b8dd82f_15;- La Seccion de Desarrollo tendra como objetivo, programar y coordinar la asistencia tecnica a los agricultores y ganaderos del Distrito, a fin de lograr una mayor produccion;1
asistencia técnica;e18d168_244;- Los canones resultantes del regimen de acceso de las diferentes actividades de la pesca y la acuicultura ingresaran al Fondo de Actividades Especiales de CENDEPESCA y se destinaran para atender actividades de capacitacion, monitoreo de recursos, investi;0
asistencia técnica;e18d168_247; las asociaciones de pescadores artesanales juridicamente constituidas tendran en los primeros diez años de esta Ley asistencia preferencial en los programas de capacitacion y asistencia tecnica que impulse CENDEPESCA;1
asistencia técnica;ee138a1_13;"En caso de la mineria artesanal de pequeña escala para subsistencia familiar, artesanal y gliriseros, tendra un plazo de dos años, contados a partir de la entrada en vigencia de esta ley, para reconvertirse a otra actividad productiva; para ello, contaran con el apoyo, el asesoramiento y la asistencia tecnica y financiera del Estado salvadoreño";1
ayuda;00a55af_61;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;
ayuda;15169f7_58;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;
ayuda;17252d8_50;d) Coordinar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros para el tratamiento de aguas residuales;
ayuda;29c84d6_47;f) Coordinar ayuda tecnica y economica con Instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de aguas residuales;
ayuda;303730b_146;- Los proyectos sociales de beneficio colectivo, que en su constitucion y naturaleza esten declarados sin fines de lucro, y que dentro de sus objetivos tengan la generacion de valores, principios y practicas positivas tal como: Iglesias, Fundaciones o Aso;
ayuda;323ef51_92;- Todo propietario, poseedor, usufructuario, arrendatario o mero detentador de bosque, suelos forestales y zonas protectoras, reserva forestales y parques municipales y nacionales, estan obligados a facilitar el exceso, transito o permanencia dentro de di;
ayuda;4e220b5_119;colaboren en la prevencion o extincion de incendios, prestandoles la ayuda necesaria para el cumplimiento de su actividad;
ayuda;66d8c54_62;Para esta clase de ayuda sera prioritario planificar proyectos que sean gestionados ante los organismos respectivos;
ayuda;889f980_555;- Ante la inminencia u ocurrencia de un desastre ambiental, la Municipalidad solicitara a las instituciones pertinentes del Estado, se declarare el estado de emergencia ambiental por el tiempo que persista la situacion y sus consecuencias, abarcando toda ;
ayuda;8e81fe2_558;- Ante la inminencia u ocurrencia de un desastre ambiental, la Municipalidad demandara de las instituciones pertinentes del Estado, el concesionario del puerto y la empresa naviera responsable, se declarare el estado de emergencia ambiental por el tiempo ;
ayuda;930897c_161;Gestionar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de las aguas residuales;
ayuda;b8ff0ff_93;"f Gestionar y captar ayuda tecnica y economica con las instituciones del Gobierno, la Cooperacion Internacional y otras entidades orientada al tratamiento de aguas residuales;";
ayuda;e2bb383_230;- Ante la inminencia u ocurrencia de un desastre ambiental, el Organo Ejecutivo, declarara el estado de emergencia ambiental por el tiempo que persista la situacion y sus consecuencias, abarcando toda la zona afectada, adoptando medidas de ayuda, asistenc;
ayuda;ea91c69_93;Gestionar ayuda tecnica y economica con instituciones de Gobierno, Cooperacion Internacional y otros, para el tratamiento de las aguas residuales;
bono;00a55af_80;La Municipalidad en coordinacion con la Mancomunidad Trinacional Fronteriza Rio Lempa, Entregar anualmente implementaran anualmente la entrega, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;
bono;15169f7_75;La Municipalidad en coordinacion con la Mancomunidad Trinacional Fronteriza Rio Lempa, implementaran anualmente la entrega, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;
bono;66d8c54_81;Entregar anualmente, a los propietarios de bosques y areas naturales, bonos o incentivos forestales, con el fin de lograr la conservacion de dichas areas;
bono;d44820b_34;En el caso del Fondo de Saneamiento y Fortalecimiento Financiero, este debera recibir el pago referido, ya sea por medio de efectivo, de los antes relacionados bonos, o con bienes inmuebles, cuyos precios se estableceran por medio de un perito valuador inscrito en la Superintendencia del Sistema Financiero;
bono;d44820b_51;- Autorizase al BFA para que transfiera al FOSAFRI, los prestamos de su cartera que sean objeto de aplicacion de esta Ley, y a este para que entregue en pago de dicha cartera bonos de la Reforma Agraria;
crédito;0f03aa3_641;Actividades/Usos de Suelo Permitidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, cooperativas;
crédito;0f03aa3_552;Actividades/Usos de Suelo Permitidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, cooperativas;
crédito;0f03aa3_725;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas, autobancos;
crédito;0f03aa3_1077;Actividades/Usos de Suelo Prohibidos: Autobanco, aseguradora de vehiculos, cajas de ahorro y credito, bancos, aseguradoras, cooperativas;
crédito;0f03aa3_803;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas;
crédito;0f03aa3_939;Actividades/Usos de Suelo Prohibidos: Aseguradora de carros, bancos, cajas de ahorro y credito, cooperativas, autobancos;
crédito;0f03aa3_1142;Actividades/Usos de Suelo Prohibidos: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;
crédito;1cd36a0_11;"- La presente ley tiene por objeto contribuir a enfrentar la crisis generada por la caida de los precios del cafe y los daños por el fuerte rebrote de la roya del cafeto; asimismo, seguir contribuyendo a la reactivacion del sector cafetalero, mediante la ";
crédito;1cd36a0_15;- Durante la vigencia del presente Decreto se suspenden los juicios de naturaleza ejecutivo mercantil o civil que implique embargo, asi como los que esten iniciados o se encuentren en cualquier etapa del proceso judicial ejecutivo o mercantil en contra de;
crédito;21dcf30_155;"El valor de la compra de un semoviente, sera asentado por el Elaborador de Cartas de Venta, en base a los datos quedan aportado los celebrantes a los Revisadores de Ganado; sin embargo, este debe estar acorde a los valores vigentes del mercado, cuidando de que no se subvalore para evadir el pago de la renta, ni tampoco debe permitir que se sobrevalore para la obtencion de creditos";
crédito;265c79d_67;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;
crédito;2947ddf_114;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;
crédito;2947ddf_137;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;
crédito;2b97317_113;"- El valor de la compra de un semoviente, sera asentado por quien elabora las Cartas de Venta, en base a los datos aportado por los celebrantes a los Revisadores de Ganado; sin embargo, este debe estar acorde a los valores vigentes del mercado, cuidando d";
crédito;3294386_14;La presente ley especial transitoria tiene por objeto apoyar a los productores de cafe, que han sido afectados por la disminucion de los precios internacionales del cafe y por los efectos del cambio climatico, como ataques virulentos de roya del cultivo del cafe, que hayan comprobado su moralidad de pago ante sus acreedores y hayan expresado a su acreedor respectivo y al Ministerio de Agricultura y Ganaderia, su decision de acogerse al Programa de Rescate del Sector Cafe, mediante la suspension de procesos judiciales iniciados contra deudores de los bancos integrantes del sistema financiero estatal, por creditos relacionados con la produccion de cafe y contratados durante los ultimos cinco años, contados a partir del año 2012;
crédito;3294386_15;Quedan suspendidos temporalmente, a partir de la vigencia del presente Decreto y hasta por seis meses, los procesos judiciales relacionados al incumplimiento de pagos de capital e intereses, sobre la deuda contraida con fondos provenientes de saldos de avio o insolutos, lineas de creditos de cafetales y todos aquellos relacionados a la caficultura que hayan sido otorgados por la banca estatal, ya sea con fondos propios de los bancos integrantes del sistema financiero estatal o del Banco de Desarrollo de El Salvador (BANDESAL), aplicados a cuotas de pago, a partir de enero del año 2013 y subsiguientes hasta antes de entrar en vigencia el presente decreto, cumpliendo los siguientes requisitos:;
crédito;3294386_24;"Durante la vigencia del presente Decreto se suspenden los juicios de naturaleza ejecutiva mercantil o civil que impliquen embargo; asi como los juicios que esten iniciados o se encuentren en cualquier etapa del proceso judicial promovido por la banca estatal en contra de los productores de cafe, que se encuentren en deuda con fondos provenientes de los creditos relacionados con la caficultura, siempre y cuando estos cumplan con los requisitos establecidos en el articulo 2 del presente Decreto";
crédito;5ea6d0c_197;ACTIVIDADES/ USOS DE SUELO ALTERNATIVOS: Cooperativas, Aseguradora de vehiculos, bancos, cajas de ahorro y credito, autobancos;
crédito;5ea6d0c_148;ACTIVIDADES/USOS DE SUELO PERMITIDOS: Aseguradora de vehiculos, cajas de ahorro y credito, bancos, Cooperativas;
crédito;643a949_7;"- Para viabilizar el cumplimiento del objeto de esta Ley, crease la institucion oficial de credito descentralizada denominada: ""BANCO DE TIERRAS”, que en adelante se denominara el BANCO";
crédito;643a949_10;"- Seran sujetos de credito del ""BANCO"" los campesinos, agricultores en pequeño y pequeños productores, mayores de dieciocho años, que no sean propietarios de inmuebles rusticos, o que teniendolos, su extension superficial no exceda a las determinadas en e";
crédito;643a949_18;Para los fines señalados en este articulo, las personas de dieciocho años se consideran habilitadas de edad para la obtencion de creditos destinados a la compra de inmuebles, asi como para constituir hipotecas a favor del BANCO, en garantia del pago correspondiente;
crédito;643a949_26;"Conceder creditos a campesinos, agricultores en pequeño y pequeños productores, a fin de que estos adquieran tierras con vocacion agricola, pecuaria o forestal;";
crédito;643a949_28;"Adquirir creditos hipotecarios, previamente calificados, de las instituciones del sistema financiero, siempre que tales creditos no esten en mora y se hayan originado de operaciones similares a las reguladas por esta ley;";
crédito;70be962_15;"El Fideicomiso podra ser de inversion, administracion, de otorgamiento de creditos y servir de base para la emision de certificados fiduciarios de participacion, pudiendo realizar la compra y administracion de carteras de credito; por lo que, por medio del fiduciario, tendra entre otras la responsabilidad de administrar bienes fideicomitidos, entendiendose como parte de dicha administracion, el traslado de los fondos a los fideicomisarios productores del cafe legalmente registrados como tales en el Consejo Salvadoreño del Cafe; asi como el otorgamiento de creditos a estos; todo de conformidad a lo dispuesto en la presente ley y a las instrucciones que debe emitir el Consejo Ejecutivo regulado por esta ley, en adelante ""El Consejo""";
crédito;70be962_31;"No obstante lo anterior, el fiduciario, cuando asi lo acuerde y lo apruebe el Consejo Ejecutivo, podra contratar creditos a cargo y para fines del fideicomiso, recibir donaciones, ya sea con gobiernos internacionales, bancos, organismos nacionales o internacionales que ofrezcan lineas de creditos en condiciones favorable; de todo ello respondera con los bienes fideicomitidos";
crédito;70be962_64;Lo anterior, sin perjuicio de lo establecido en cualquier ley que establezca condiciones financieras especiales para la reactivacion de caficultores con creditos con el sistema financiero nacional;
crédito;70be962_87;Conocer y aprobar la suscripcion y modificacion de los convenios o contratos a celebrarse con instituciones gubernamentales, financieras o con otros terceros, los cuales deberan ser idoneos para cumplir con los objetivos establecidos en el articulo 1 de esta ley, dentro de los cuales se podra suscribir contratos de compra y de administracion de cartera de creditos, en las condiciones que determina el Consejo;
crédito;70be962_92;"Conceder con los recursos del fideicomiso, creditos a los fideicomisarios productores de cafe legalmente registrados como tales en el Consejo Salvadoreño de Cafe, los cuales podran ser otorgados en condiciones favorables que contemplen, dentro de otros, periodos de gracia, tasa de interes y plazos preferenciales; siempre que el destino de dichos creditos cumplan con el objeto del fideicomiso, todo de conformidad a lo establecido en la presente ley";
crédito;70be962_93;Para tales efectos, el Consejo emitira las politicas y aprobara los instrumentos normativos para el otorgamiento de dichos creditos, asi como para su administracion, recuperacion, negociacion, dentro de otros aspectos;
crédito;70be962_94;Asi mismo, podra conocer y aprobar sobre la contratacion de creditos a cargo y para fines del fideicomiso, ya sea con gobiernos internacionales, bancos, organismos nacionales o internacionales que ofrezcan lineas de creditos en condiciones favorables o aprobar la titularizacion de activos;
crédito;70be962_96;Acordar la compra de cartera de creditos otorgados a los fideicomisarios productores de cafe legalmente registrados como tales en el Consejo Salvadoreño del Cafe, dentro de los limites establecidos por las normas, politicas o criterios que dicte el Consejo Ejecutivo, teniendo como base;
crédito;70be962_97;Para lo anterior, se tendra como normativa propia del fideicomiso de acuerdo a su necesidad financiera u otras condiciones de conveniencia, incluyendo la facultad de pagar con certificados fiduciarios de participacion a los acreedores que corresponda, asi como la de aceptar la adquisicion de la cartera a descuento, partiendo de la evaluacion que se haga de los creditos que componen la misma;
crédito;70be962_98;Caracteristicas de los creditos fiduciarios de participacion (;
crédito;753300f_275;- El financiamiento para realizar todas aquellas actividades vinculadas a la gestion integral de residuos debe formar parte de los programas del Banco de Desarrollo de El Salvador, Banco de Fomento Agropecuario y Banco Hipotecario de El Salvador , a trave;
crédito;a9bb3c2_28;Los recursos que se obtengan de las diferentes operaciones del credito autorizadas por esta Ley;
crédito;d44820b_21;- La presente Ley tiene por objeto contribuir a la reactivacion del sector agropecuario mediante la readecuacion de los creditos a su valor actual, y el establecimiento de los mecanismos financieros que permitan cancelar las deudas contraidas por los adju;
crédito;d44820b_25;"3 millones de colones, Fondos surgidos del convenio de donacion, proyecto AID No 519-0307, modificado mediante Carta de Implementacion No 39 del 20 de febrero de 1996; con la finalidad de convertir atodos los relacionados deudores en sujetos de credito con el Sistema Financiero";
crédito;d44820b_29;"b) Los usuarios” pertenecientes al Sector Agropecuario deudores de las siguientes instituciones: FOSAFFI, FFRAP, BFA y FIDEAGRO, cuyas deudas fueron contraidas para financiar las actividades agropecuarias a que se refiere el Art 8 de esta Ley, calificados y no calificados bajo los beneficios de la Ley para la Rehabilitacion de los-Sectores Productivos Directamente Afectados por el Conflicto; en lo que respecta al BFA y FIDEAGRO los no calificados seran aquellos cuyos creditos fueron otorgados antes del dia 31 de diciembre de 1991, debiendo ademas estar calificados dentro de las categorias “D o E” a la fecha de vigencia de esta Ley; y, (";
crédito;d44820b_30;c) Los usuarios correspondientes al Sector Agropecuario deudores del BFA, que fueron calificados bajo el instructivo para la calificacion de casos especiales de usuarios directamente afectados por el conflicto, cuyos creditos estan calificados en la categoria de riesgo *C”, aprobado por el Banco Central de Reserva de El Salvador;
crédito;d44820b_31;"d) Los usuarios de la Cartera de Prestamos manejada por las distintas Instituciones Financieras, incluyendo FOSAFFI, cuyos fondos provienen de la linea de credito creada por el Banco Central de Reserva y denominada linea de Financiamiento de Cultivos Forestales y Obras de Recuperacion y Conservacion del Medio Ambiente, dentro del Fondo de Credito para el Medio Ambiente FOCAM y que sirvieron para financiar proyectos de siembra de cultivos forestales, por un monto de ochenta y dos millones trescientos mil colones y que fueron desglosados para este fin del convenio de donacion, proyecto AID N 519-0307, del año 1986 y modificado para los fines descritos, mediante carta de implementacion No 39 del 20 de febrero de 1996; siempre y cuando los creditos contraidos por dichos usuarios para este objetivo, hayan sido otorgados como fecha maxima hasta el 31 de diciembre del 2002, y se encuentren con una mora de no menos de noventa dias a la entrada en vigencia de este decreto; y ademas demuestren fehacientemente que dichos creditos fueron utilizados para tal fin";
crédito;d44820b_32;"Para la comprobacion de que los referidos creditos hayan sido utilizados para la siembra y cultivos de areas forestales, deberan participar la Direccion General de Ordenamiento Forestal, Cuencas y Riegos del Ministerio de Agricultura y Ganaderia; las instituciones que actualmente manejan la Cartera de dichos creditos, y el usuario del mismo; siendo la Direccion la responsable de emitir la resolucion que establezca si el credito otorgado fue utilizado o no para los fines descritos";
crédito;d44820b_33;- Como consecuencia de la readecuacion de los creditos a su valor actual, quedan autorizadas las instituciones acreedoras citadas en el Art 1, de esta Ley, para dar por cancelados los prestamos adeudados, con el pago del 10 % del saldo de capital e intere;
crédito;d44820b_38;La cobertura de la garantia hipotecaria de los creditos antes mencionados, no exesdera del 125% del monto del credito conforme a valon actual, realizado por Peritos registrados en la- Superintendencia del Sistema Financiero;
crédito;d44820b_40;El resultado de los valuos practicados en las garantias ofrecidas por los deudores, efectuados por los Peritos registrados en la Superintendencia del Sistema Financiero, debera estar a la disposicion de los solicitantes de los respectivos creditos;
crédito;d44820b_53;A Asimismo, se autoriza al Instituto Salvadoreño de Transformacion Agraria, para que transfiera al Fideicomiso Especial para financiar el Pago de la Deuda Agraria, la Cartera de Prestamos resultantes de la adjudicacion de inmuebles de los beneficiarios citados en la letra a) del Art 2 de la presente Ley, aplicando al saldo de capital e intereses de cada credito a la fecha de operacion, el 85% de descuento como beneficio establecido en el Art3 de misma, quedando en tal sentido cancelados los referidos creditos con el Instituto Salvadoreño de Transformacion Agraria, y al Fideicomiso Especial para Financiar el Pago de la Deuda Agraria, autorizandose al Fideicomiso para recibirlos como creditos nuevos y en concepto de aporte a su capital, debiendo ajustarse el monto de las cuotas de pago hasta por el plazo establecido en el referido Fideicomiso;
crédito;d44820b_58;de gastos administrativos, y notariales de escrituracion del respectivo instrumento de adjudicacion de su parcela o credito respectivo como consecuencia de la aplicacion de esta Ley;
crédito;d44820b_59;"No obstante lo establecido en el inciso anterior, los fondos en efectivo que actualmente posee el Instituto Salvadoreño de Transformacion Agraria, provenientes del pago de la deuda agraria, y las inversiones realizadas por este mismo Instituto en el BFA en ""Certificados de Deposito Especial para la Cancelacion de Deudas Agrarias y Agropecuarias"" que se llamaran CEDECADA, deberan ser transferidos al Estado de El Salvador en el ramo de Hacienda, hasta por las cantidades que mas adelante se mencionan, para que se constituya un Fideicomiso con el BFA, a fin de financiar el pago del 15% de la deuda agraria de las asociaciones cooperativas y de los beneficiarios individuales, todos deudores del mencionado Instituto; asimismo, los fondos en efectivo que el ISTA reciba en concepto de pago de la deuda agraria, originados de creditos financiados con recursos del Fideicomiso que por esta Ley se crea, seran transferidos a este Fideicomiso para su fortalecimiento";
crédito;d44820b_62;Se faculta al FEPADA para que adquiera el cien por ciento de su valor de capital e intereses, la cartera del BFA referente a los creditos existentes a la fecha de vigencia de este Decreto, que financio para el pago de la deuda agraria de las asociaciones cooperativas y beneficiarios individuales, a traves de los CEDECADA;
crédito;d44820b_66;- Para la aplicacion de esta Ley se entenderan como creditos al sector agropecuario, los otorgados para financiar inversiones y capital;
crédito;d44820b_67;"de trabajo para las siguientes actividades; a) Agricolas y Ganaderas; b) Pesca Artesanal no industrial hasta por cien-mil colones, cuando-se trate de creditos otorgados a personas a titulo individual; y hasta quinientos mil colones, si se tratare de creditos otorgados en forma colectiva; C) Proyectos de acuicultura; d) Creditos otorgados para el financiamiento de obras de recuperacion y conservacion del medio ambiente, asi como para la siembra de cultivos forestales, provenientes de la linea FOCAM; e) creditos otorgados para el pago de deudas cuyo origen o destino fue el financiamiento de una actividad agricola o ganadera; y f) los refinanciamientos de los creditos mencionados en este inciso";
crédito;d44820b_69;Tierras con Vocacion Agropecuaria, cuyos creditos fueron anulados por resolucion de Junta Directiva, por renuncia del adjudicatario, y por declaratoria de abandono o dacion de pago;
crédito;d44820b_70;Tampoco se aplicaran los beneficios de esta Ley alos creditos de pre exportacion y exportacion;
crédito;d44820b_71;- Para los efectos de esta Ley, se considerara como una sola obligacion crediticia el saldo de capital e intereses adeudados del, o de los creditos que las Asociaciones Cooperativas tengan, provenientes del valor de la tierra, adelantos ISTA, BFA, y deuda;
crédito;e18d168_245;#¿NOMBRE?;
crédito;e18d168_246;Las licencias que esten debidamente registradas podran ser otorgadas como garantias en la contratacion de creditos para la actividad pesquera y acuicola;
crédito;e2bb383_181;El Banco Multisectorial de Inversiones establecera lineas de credito para que el sistema financiero apoye a la pequeña, mediana y microempresa, a fin de que puedan oportunamente adaptarse a las disposiciones de la presente ley;
crédito;e3b7f39_195;Gestionar cooperacion internacional orientada a brindar creditos blandos a los agricultores que se dediquen a la produccion de semillas criollas, viveros, zoo criaderos, y otras actividades acordes con la conservacion;
crédito;e3b7f39_233;- La municipalidad debera gestionar creditos blandos a nivel municipal orientados a:;
crédito;f082837_3;"Que el Art 2 del referido Decreto Legislativo No 320, establecio el plazo de un año, para suspender los procesos judiciales relacionados al incumplimiento de pago de capital e intereses, sobre la deuda contraida con fondos provenientes de saldos de avio o insolutos, lineas de credito de cafetales y todos aquellos relacionados a la caficultura que hayan sido otorgados por el Banco de Fomento Agropecuario, Banco Hipotecario o del Banco de Desarrollo de El Salvador (BANDESAL), aplicados a cuotas de pago, a partir de enero del año 2012 y subsiguientes hasta antes de entrar en vigencia dicho decreto, el cual vencera el 28 de mayo del 2020; y asi tambien la suspension temporal de los embargos que cumplan con las condiciones establecidas, a partir de la vigencia del presente decreto";
crédito;f082837_6;Que la caficultura, se ha visto afectada por una grave crisis, debido al ataque de la roya a los cafetales, bajos precios internacionales, deuda de los creditos otorgados a la produccion de cafe y la falta de una politica integral de apoyo al desarrollo del cafe, lo que ha ocasionado la mas baja cosecha del ultimo siglo, fuerte caida de divisas y empleo, asi como el impacto al medio ambiente;
crédito;f082837_10;La presente ley especial transitoria tiene por objeto apoyar a los productores de cafe que han sido afectados por la disminucion de los precios internacionales del cafe y por los efectos del cambio climatico, como tambien ataques severos de la roya y otras enfermedades que han afectado el cultivo del cafe y que deseen regularizar su situacion crediticia, debiendo comprobar que tuvieron perdidas en las cosechas y baja produccion de cafe, lo cual no les permitio cumplir con el pago oportuno de sus obligaciones crediticias, no obstante ellos gestionaron algun arreglo de pago-con sus acreedores entendiendose esto, como comprobacion de su moralidad de pago en sus creditos y hayan expresado ante su acreedor respectivo y al Ministerio de Agricultura y Ganaderia su decision de acogerse al Programa de Rescate del Sector Cafe cualquier otro programa desarrollado por el ejecutivo para tal fin, mediante la suspension de los Procesos Judiciales iniciados contra los deudores de los, Bancos de Fomento Agropecuario, Banco Hipotecario de El Salvador, S:y del Banco de Desarrollo de El Salvador (BANDESAL), por los creditos relacionados con la produccion de cafe, contratados a partir del año 2012 hasta el año 2019;
crédito;f082837_11;"Quedan suspendidos temporalmente, a partir de la vigencia del presente decreto por un año, los procesos judiciales iniciados por el incumplimiento del pago de capital e intereses, sobre las deudas contraidas con' fondos provenientes de saldos de avio o insolutos, lineas de creditos de cafetales y todos aquellos relacionados a la caficultura, ya sea otorgados con fondos propios del Banco de Fomento Agropecuario y Banco Hipotecario de El Salvador, ; asi como del Banco de Desarrollo de El Salvador (BANDESAL), aplicados a cuotas de pago, a partir de la vigencia del presente Decreto Legislativo, a favor de los deudores del sector cafe que cumplan los requisitos siguientes:";
crédito;f082837_18;"Los beneficiarios del presente decreto, no estaran obligados a presentar solvencias de pago de impuestos que sea requerida por otra normativa; y en relacion a los fines de reactivacion del sector cafetalero, para efectos de viabilizar la adquisicion de nuevos creditos y la reestructuracion de las deudas presentes que se encuentren pendientes de pago, no se consideraran las calificaciones de riesgos de los deudores en las normas para clasificar los activos de riesgo crediticio y tampoco para constituir las reservas de saneamiento y sus anexos (NCB-, emitida por el Banco Central de Reserva de El Salvador";
deducción;70be962_34;Asimismo, formaran parte de los bienes indicados en el articulo anterior, las contribuciones indicadas en la Ley de Creacion del Fondo de Emergencia para el Cafe que correspondan al pago de las obligaciones financieras que el Fondo adeuda al Ministerio de Hacienda, asi como las recuperaciones en dinero de las contribuciones adeudadas por los productores de cafe que el Fondo realice a partir de la entrada en vigencia de esta Ley, despues de haber realizado las deducciones o devoluciones que por la Ley de Creacion del Fondo de Emergencia para el Cafe correspondan;
deducción;a63e3ea_260;"Si el presunto infractor no compareciere dentro del plazo establecido se le declarara rebelde y se continuara de mero derecho, se tendran por cierto los hechos y se dictara o emitira la resolucion correspondiente; si compareciere e hiciere oposicion al manifestar su defensa, se abrira a pruebas el procedimiento en el termino de 4 dias habiles, dentro del cual debera contribuir a la comprobacion del hecho y deduccion de responsabilidades; cuando el infractor acepte el cometimiento de la falta que se le atribuye y estuviere de acuerdo con la cuantia de la multa correspondiente a esta ordenanza, debera omitirse la apertura a pruebas y seguira el procedimiento de mero derecho";
devolución;19a0f82_88;En caso de que se realizare el Plan Metropolitano u obra sin que el inmueble expropiado fuere utilizado, el expropiado tendra derecho a la devolucion del bien, previo reembolso a favor del Estado o del Municipio segun el caso, de la cantidad de dinero que recibio en concepto de indemnizacion;
devolución;375de0b_83;En ese sentido, el usuario que solicite el prestamo es responsable de su renovacion y devolucion a tiempo y en el mismo estado en que se le entrego;
devolución;375de0b_96;La biblioteca estara facultada para exigir la devolucion anticipada de los ejemplares, siempre que se trate de casos urgentes y justificados;
devolución;375de0b_102;Posterior a ello, de no efectuarse la devolucion, se suspendera permanentemente el servicio de la biblioteca a dicho usuario;
